y,u_num,u_ref
0.172948,-0.3485594274726444,-0.383699
0.10259400000000002,-0.26688034783620296,-0.297251
0.28205199999999997,-0.2557810515926632,-0.27788
0.07108599999999998,-0.1997837154786376,-0.222276
0.06370999999999999,-0.18176244017011664,-0.201989
0.05566500000000002,-0.16317012289371904,-0.181701
0.453405,-0.09423474440186684,-0.106804
0.501598,-0.051584277106704005,-0.060949
0.0006700000000000039,0.0,-0.000882
0.618733,0.058948718454517435,0.057217
0.735193,0.18217294172405635,0.186849
0.8523149999999999,0.3138008802612561,0.333239
0.95404,0.489606295767424,0.466401
0.9613860000000001,0.5572438273954085,0.511382
0.969392,0.645502650882315,0.574884
0.976719,0.7531290223463163,0.659554
1.0,1.0,0.999118
