x,v_num,v_ref
-0.0005770000000000497,0.0,0.00069404
0.062319999999999987,0.24108267404347916,0.275621
0.07039800000000002,0.25507011005817287,0.290847
0.07847700000000002,0.26739227827894235,0.303994
0.09347899999999998,0.2883584393335706,0.326826
0.15637600000000001,0.33322048255576153,0.371038
0.22619699999999998,0.3040742868675769,0.330015
0.23427599999999998,0.2969140336814174,0.32307
0.499711,0.022617449318557244,0.0252893
0.804962,-0.30193341808020463,-0.318994
0.859781,-0.41159074023258585,-0.427191
0.90652,-0.46974931468213554,-0.515279
0.945182,-0.30915124818691797,-0.392034
0.95326,-0.2542866159114752,-0.336623
0.9613389999999999,-0.19715613924419761,-0.277749
0.9688399999999999,-0.14073709507984192,-0.214023
1.0,0.0,-6.20706e-17
