scheme,nx,D,lambda_min,lambda_max,cond2,rows,cols,nnz
poisson,8,1.0,1.0,104.69868339017471,104.69868339017471,9,9,22
poisson,8,10.0,1.0,1046.9868339017464,1046.9868339017464,9,9,22
poisson,8,100.0,1.0,10469.86833901746,10469.86833901746,9,9,22
poisson,16,1.0,1.0,67.63319789150312,67.63319789150312,11,11,25
poisson,16,10.0,1.0,676.3319789150311,676.3319789150311,11,11,25
poisson,16,100.0,1.0,6763.319789150308,6763.319789150308,11,11,25
poisson,32,1.0,1.0,353.72591444949774,353.72591444949774,19,19,49
poisson,32,10.0,1.0,3537.259144494978,3537.259144494978,19,19,49
poisson,32,100.0,1.0,35372.59144494977,35372.59144494977,19,19,49
