method,h,lp_norm,inside_cells,inside_cells_by_dim,all_err,full_err,cut_err,empty_err,pair_order_all,pair_order_full,pair_order_cut,trunc_max_all,trunc_max_full,trunc_max_cut,trunc_pair_order_max_all,trunc_pair_order_max_full,trunc_pair_order_max_cut
JohansenColella_P2,0.025,L^1,401,"[36, 36]",3.415729939837024e-5,1.7791566871941585e-5,1.636573252642869e-5,0.0,NaN,NaN,NaN,0.25255615004049775,0.001790553656732911,0.25255615004049775,NaN,NaN,NaN
JohansenColella_P2,0.0125,L^1,1813,"[72, 72]",1.052019234214492e-5,6.352840439684107e-6,4.167351902460805e-6,0.0,1.6990328328289053,1.4857198823717832,1.973475343160047,0.6729894276322541,0.016637811448129505,0.6729894276322541,-1.4139796673846106,-3.2159880156006935,-1.4139796673846106
JohansenColella_P2,0.00625,L^1,7713,"[144, 144]",2.790376361088541e-6,1.767193117472951e-6,1.0231832436156046e-6,0.0,1.9146294533884054,1.8459420792426542,2.0260663873393927,0.5360032883735568,0.019792895648183092,0.5360032883735568,0.3283419892829433,-0.2505170176607724,0.3283419892829433
JohansenColella_P2,0.003125,L^1,31717,"[288, 288]",7.510032559085091e-7,5.019634478082723e-7,2.4903980810024127e-7,0.0,1.8935686558219955,1.8158054867618127,2.0386162675626944,0.27008549745253957,0.021127112169864664,0.27008549745253957,0.9888256768481754,-0.09411289085487473,0.9888256768481754
JohansenColella_P2,0.0015625,L^1,128581,"[576, 576]",2.0858594560183877e-7,1.456307615437627e-7,6.295518405807557e-8,0.0,1.8481772092401572,1.785267185424899,1.9839792832594305,1.3417331261014565,0.019273568833160695,1.3417331261014565,-2.312609664718785,0.1324718449426386,-2.312609664718785
JohansenColella_P2,0.025,L^Inf,401,"[36, 36]",0.00045443614474756713,0.00016045334006969947,0.00045443614474756713,0.17677669529663692,NaN,NaN,NaN,0.25255615004049775,0.001790553656732911,0.25255615004049775,NaN,NaN,NaN
JohansenColella_P2,0.0125,L^Inf,1813,"[72, 72]",0.00030402260589837415,8.291166008771167e-5,0.00030402260589837415,0.17677669529663692,0.5798989872080638,0.9525069105786346,0.5798989872080638,0.6729894276322541,0.016637811448129505,0.6729894276322541,-1.4139796673846106,-3.2159880156006935,-1.4139796673846106
JohansenColella_P2,0.00625,L^Inf,7713,"[144, 144]",0.0002259750327882823,2.449288311187625e-5,0.0002259750327882823,0.17677669529663692,0.42801521767466005,1.7592123992896864,0.42801521767466005,0.5360032883735568,0.019792895648183092,0.5360032883735568,0.3283419892829433,-0.2505170176607724,0.3283419892829433
JohansenColella_P2,0.003125,L^Inf,31717,"[288, 288]",0.00010889576545558555,1.0047790331126072e-5,0.00010889576545558555,0.17677669529663692,1.053215528791661,1.2854843420430653,1.053215528791661,0.27008549745253957,0.021127112169864664,0.27008549745253957,0.9888256768481754,-0.09411289085487473,0.9888256768481754
JohansenColella_P2,0.0015625,L^Inf,128581,"[576, 576]",5.627354235897275e-5,3.86249013656359e-6,5.627354235897275e-5,0.17677669529663692,0.9524191667245908,1.379275110703905,0.9524191667245908,1.3417331261014565,0.019273568833160695,1.3417331261014565,-2.312609664718785,0.1324718449426386,-2.312609664718785
