method,h,lp_norm,inside_cells,inside_cells_by_dim,all_err,full_err,cut_err,empty_err,pair_order_all,pair_order_full,pair_order_cut
Scalar_1D_Diffusion_Poisson_Dirichlet_Convergence,0.5,L^2,0,[1],0.003025,0.0,0.003025,0.0,NaN,NaN,NaN
Scalar_1D_Diffusion_Poisson_Dirichlet_Convergence,0.25,L^2,0,[1],0.003024999999999999,0.0,0.003024999999999999,0.0,3.2034265038149176e-16,NaN,3.2034265038149176e-16
Scalar_1D_Diffusion_Poisson_Dirichlet_Convergence,0.125,L^2,1,[2],0.0007419464726632739,0.0007361116810980577,9.286636230878007e-5,0.0,2.027548129146586,NaN,5.025635208301378
Scalar_1D_Diffusion_Poisson_Dirichlet_Convergence,0.0625,L^2,3,[4],0.00022644276462965385,0.00022635338077143827,6.361813142579079e-6,0.0,1.7121686654486679,1.7013478105502453,3.867646220689041
Scalar_1D_Diffusion_Poisson_Dirichlet_Convergence,0.03125,L^2,7,[8],6.13315853457857e-5,6.133158529979466e-5,2.375164446077063e-9,0.0,1.8844442942198834,1.8838747071903068,11.387194879876663
Scalar_1D_Diffusion_Poisson_Dirichlet_Convergence,0.015625,L^2,13,[15],1.4808110583986661e-5,1.475470974848933e-5,1.2564550550703061e-6,0.0,2.05024266922954,2.0554547016057825,-9.047115946998206
Scalar_1D_Diffusion_Poisson_Dirichlet_Convergence,0.0078125,L^2,27,[29],3.771271027731235e-6,3.7618698832984763e-6,2.661205473782784e-7,0.0,1.9732648334778085,1.9716536861980551,2.239207253780153
Scalar_1D_Diffusion_Poisson_Dirichlet_Convergence,0.00390625,L^2,55,[57],9.517518528672372e-7,9.495259261960533e-7,6.505463025601157e-8,0.0,1.9863934569901753,1.98617065146106,2.032356256919808
Scalar_1D_Diffusion_Poisson_Dirichlet_Convergence,0.001953125,L^2,111,[113],2.3933178190990605e-7,2.385115349366369e-7,1.9797715381838073e-8,0.0,1.9915734820667914,1.9931483529864937,1.7163177885695984
Scalar_1D_Diffusion_Poisson_Dirichlet_Convergence,0.0009765625,L^2,225,[226],6.004423029530751e-8,6.004421551488166e-8,4.213025478867104e-11,0.0,1.99491446353202,1.9899618670954695,8.876261599518958
Scalar_1D_Diffusion_Poisson_Dirichlet_Convergence,0.00048828125,L^2,449,[451],1.5003762626035222e-8,1.4993819284108738e-8,5.461466963190862e-10,0.0,2.0007012792440344,2.0016573485765154,-3.6963599686218322
Scalar_1D_Diffusion_Poisson_Dirichlet_Convergence,0.000244140625,L^2,901,[902],3.754957869872696e-9,3.754957866532874e-9,1.583722825222946e-13,0.0,1.9984557173718014,1.9974992941901477,11.751752934556889
Scalar_1D_Diffusion_Poisson_Dirichlet_Convergence,0.0001220703125,L^2,1801,[1803],9.385183267951313e-10,9.384690760016819e-10,9.614734467589843e-12,0.0,2.000339898499597,2.00041560776766,-5.923855245081983
Scalar_1D_Diffusion_Poisson_Dirichlet_Convergence,6.103515625e-5,L^2,3603,[3605],2.346631249258846e-10,2.346482148641436e-10,2.645271451480251e-12,0.0,1.9997937634794043,1.9998097220199258,1.861831238984949
Scalar_1D_Diffusion_Poisson_Dirichlet_Convergence,3.0517578125e-5,L^2,7207,[7209],5.86693071776655e-11,5.866171517113003e-11,9.43810303231985e-13,0.0,1.9999132933692807,2.0000083259694343,1.4868469498304662
Scalar_1D_Diffusion_Poisson_Dirichlet_Convergence,1.52587890625e-5,L^2,14417,[14418],1.4697297121501347e-11,1.4697275543436982e-11,2.5184876035905704e-14,0.0,1.9970550920456864,1.9968705084703728,5.227867385990591
Scalar_1D_Diffusion_Poisson_Dirichlet_Convergence,7.62939453125e-6,L^2,28835,[28836],3.526404545195292e-12,3.5264027619084826e-12,3.5464317618246372e-15,0.0,2.0592809697345698,2.059279581182483,2.82811753627606
Scalar_1D_Diffusion_Poisson_Dirichlet_Convergence,3.814697265625e-6,L^2,57671,[57672],8.694071528077687e-13,8.694070742266934e-13,3.6964562999346877e-16,0.0,2.0200941183642978,2.0200935191972795,3.262153425651103
Scalar_1D_Diffusion_Poisson_Dirichlet_Convergence,1.9073486328125e-6,L^2,115343,[115344],5.734439225213648e-13,5.734439223666559e-13,1.3320425910439352e-17,0.0,0.6003795540497766,0.6003794240414845,4.794430740348548
