Method,Iterations,FinalResidual,L2Error
GMRES (No Precond),118,1.0147285904056093e-16,0.007269048958655299
BICGSTAB + AMG(SA),17,3.785508205383452e-16,0.0072690489586568225
BICGSTAB + Diag+ILU0,25,1.624797883775105e-14,0.007269048958656813
GMRES + AMG(RS),45,2.424967754585633e-15,0.007269048958656733
GMRES + ILU0,11,2.755550892011894e-15,0.007269048958656916
GMRES + Diagonal,28,1.852321532324402e-15,0.007269048958656507
GMRES + AMG(SA),58,1.4842728236477844e-15,0.0072690489586567635
BICGSTAB + Diagonal,8,6.297618676808158e-17,0.007269048958656887
GMRES + Diag+ILU0,91,5.043559196095463e-13,0.0072690489586569465
GMRES + ILU(0.01),28,1.852321532324402e-15,0.007269048958656507
BICGSTAB + ILU(0.01),8,1.2893716510984217e-16,0.007269048958656842
BICGSTAB + AMG(RS),20,2.843440521014255e-16,0.007269048958656831
BICGSTAB (No Precond),27,2.640652051920785e-17,0.0072690489586565935
BICGSTAB + LLDL,4,2.954406594163512e-17,0.007269048958656797
GMRES + LLDL,15,2.6892746240147514e-15,0.007269048958656791
BICGSTAB + ILU0,3,3.7134184414353485e-18,0.007269048958656812
