Iteration,GMRES (Right ILU0),GMRES (Left ILU0),GMRES (No Precond),BiCGSTAB (Left ILU0),BiCGSTAB (No Precond)
1,0.003320042605315934,0.836447253914558,0.10210387428038034,3.374272050891055e-5,0.02227711775650805
2,7.448836250208234e-5,0.019652042650166648,0.05252056315473205,1.5468927572800706e-11,0.005640675398618341
3,1.7346410914531175e-6,0.00046854036729602973,0.031243360684282056,,0.001966490685125553
4,4.145436644268656e-8,1.1188463289044816e-5,0.022007217523832407,,0.0008714077331803682
5,1.0166340951567828e-9,2.7312028357000354e-7,0.01547638236275218,,0.0005986410870123653
6,,6.466647688573303e-9,0.010691888271057296,,0.00039073220565884924
7,,,0.00747438491262779,,0.00017290387871819572
8,,,0.005020782109214093,,6.574608729921768e-5
9,,,0.0036164144339963836,,1.4469069070585118e-5
10,,,0.0027109139751996083,,3.6344587038670067e-6
11,,,0.002015368326384069,,7.192880190624886e-7
12,,,0.0014639662463432448,,7.575432293704839e-8
13,,,0.0010991631895078211,,2.1113509224185638e-8
14,,,0.0009065794816930459,,2.1443770836690144e-9
15,,,0.0007982449762230035,,
16,,,0.0007293209166292955,,
17,,,0.0006463612445821184,,
18,,,0.0005472748991507036,,
19,,,0.00047779906587720755,,
20,,,0.00040310837262978803,,
21,,,0.0003630704669162253,,
22,,,0.0003166525669858051,,
23,,,0.000271537722880003,,
24,,,0.00023529080760680544,,
25,,,0.00021249431683562417,,
26,,,0.00018461868005687559,,
27,,,0.00015671387864832505,,
28,,,0.00012325505887739697,,
29,,,0.00010104290846848155,,
30,,,7.727502907079813e-5,,
31,,,5.555698424171215e-5,,
32,,,3.5157413887381496e-5,,
33,,,2.420673772189371e-5,,
34,,,1.843196665789598e-5,,
35,,,1.3296024355675308e-5,,
36,,,8.612878851286652e-6,,
37,,,5.0053543321962324e-6,,
38,,,3.031875822974428e-6,,
39,,,2.1296584231537007e-6,,
40,,,1.2595303657985078e-6,,
41,,,9.562456531193196e-7,,
42,,,7.006176877647359e-7,,
43,,,4.872128845774259e-7,,
44,,,3.2148986059167864e-7,,
45,,,1.9984661953212134e-7,,
46,,,1.3899909878943836e-7,,
47,,,9.405392839041183e-8,,
48,,,6.747296932500948e-8,,
49,,,4.43301438795723e-8,,
50,,,2.887135163657705e-8,,
51,,,2.0373643662542544e-8,,
52,,,1.4455932188276343e-8,,
53,,,9.242820402417522e-9,,
54,,,5.906896951257642e-9,,
55,,,3.995360706400535e-9,,
